"ISO7719def"
"Dia","P","d_a_max","d_a_min","d_w_min","e_min","h_max","h_min","m_w_min","s_max","s_min"
"M5",0.8,5.75,5,6.88,8.79,5.3,4.8,3.52,8,7.78
"M6",1,6.75,6,8.88,11.05,5.9,5.4,3.92,10,9.78
"M8",1.25,8.75,8,11.63,14.38,7.1,6.44,5.15,13,12.73
"M10",1.5,10.8,10,14.63,17.77,9,8.04,6.43,16,15.73
"M12",1.75,13,12,16.63,20.03,11.6,10.37,8.3,18,17.73
"(M14)",2,15.1,14,19.64,23.36,13.2,12.1,9.68,21,20.67
"M16",2,17.3,16,22.49,26.75,15.2,14.1,11.28,24,23.67
"(M18)",2.5,19.5,18,24.9,29.56,17,15.1,12.08,27,26.16
"M20",2.5,21.6,20,27.7,32.95,19,16.9,13.52,30,29.16
"(M22)",2.5,23.7,22,31.4,37.29,21,18.1,14.5,34,33
"M24",3,25.9,24,33.25,39.55,23,20.2,16.16,36,35
"M30",3.5,32.4,30,42.75,50.85,26.9,24.3,19.44,46,45
"M36",4,38.9,36,51.11,60.79,32.5,29.4,23.52,55,53.8
