"DIN6319Ddef"
"Dia", "d2", "d4", "d5", "h3"
"M6" ,  7.1, 12.0, 11.0,  2.8
"M8" ,  9.6, 17.0, 14.5,  3.5
"M10", 12.0, 21.0, 18.5,  4.2
"M12", 14.2, 24.0, 20.0,  5.0
"M14", 16.5, 28.0, 24.8,  5.6
"M16", 19.0, 30.0, 26.0,  6.2
"M20", 23.2, 36.0, 31.0,  7.5
"M24", 28.0, 44.0, 37.0,  9.5
"M30", 35.0, 56.0, 49.0, 12.0
"M36", 42.0, 68.0, 60.0, 15.0
"M42", 49.0, 78.0, 70.0, 18.0
"M48", 56.0, 92.0, 82.0, 22.0
