"ISO4035def"
"Dia","P","c","damax","dw","e","m","mw","s_nom"
"M1.6",0.35,0.2,1.84,2.9,3.4,1.0,0.8,3.2
"M2",0.4,0.2,2.3,3.7,4.4,1.2,1.1,4.0
"M2.5",0.45,0.2,2.9,4.6,5.5,1.6,1.4,5.0
"M3",0.5,0.2,3.45,5.2,6.1,1.8,1.7,5.5
"(M3.5)",0.6,0.2,4.0,5.7,6.6,2.0,2.0,6.0
"M4",0.7,0.2,4.6,6.6,7.7,2.2,2.3,7.0
"M5",0.8,0.2,5.75,7.5,8.9,2.7,3.5,8.0
"M6",1.0,0.2,6.75,9.5,11.05,3.2,3.9,10.0
"M8",1.25,0.3,8.75,11.7,14.5,4.0,5.2,13.0
"M10",1.5,0.3,10.8,14.7,17.9,5.0,6.4,16.0
"M12",1.75,0.3,13.0,16.7,20.1,6.0,8.3,18.0
"(M14)",2.0,0.3,15.1,20.5,24.5,7.0,9.7,22.0
"M16",2.0,0.4,17.3,22.4,26.9,8.0,11.3,24.0
"(M18)",2.5,0.4,19.5,24.9,29.6,9.0,12.3,27.0
"M20",2.5,0.4,21.6,28.2,33.7,10.0,13.5,30.0
"(M22)",2.5,0.4,23.7,31.4,37.3,11.0,15.0,34.0
"M24",3.0,0.4,25.9,33.7,40.1,12.0,16.2,36.0
"(M27)",3.0,0.4,29.1,38.0,45.2,13.5,18.0,41.0
"M30",3.5,0.4,32.4,42.8,50.9,15.0,19.4,46.0
"(M33)",3.5,0.4,35.6,46.6,55.4,16.5,21.4,50.0
"M36",4.0,0.4,38.9,51.2,61.0,18.0,23.5,55.0
"(M39)",4.0,0.5,42.1,55.9,66.5,19.5,24.5,60.0
"M42",4.5,0.7,45.4,60.0,71.3,21.0,25.9,65.0
"(M45)",4.5,0.7,48.6,64.7,77.0,22.5,27.9,70.0
"M48",5.0,0.7,51.8,69.5,82.6,24.0,29.1,75.0
"(M52)",5.0,0.7,56.2,74.5,88.3,26.0,32.1,80.0
"M56",5.5,0.7,60.5,78.7,93.6,28.0,34.7,85.0
"(M60)",5.5,0.7,64.8,82.7,99.2,30.0,38.7,90.0
"M64",6.0,0.7,69.1,88.2,104.9,32.0,39.3,95.0
