"ISO4017range"
"Dia","Min_L","Max_L"
"M1.6","2","16"
"M2","4","20"
"M2.5","5","25"
"M3","5","30"
"(M3.5)","8","35"
"M4","6","40"
"M5","8","50"
"M6","12","60"
"M8","16","80"
"M10","20","100"
"M12","25","120"
"(M14)","25","140"
"M16","30","150"
"(M18)","35","200"
"M20","40","160"
"(M22)","45","200"
"M24","50","180"
"(M27)","50","100"
"M30","60","200"
"(M33)","65","200"
"M36","70","200"
"(M39)","80","200"
"M42","70","200"
"(M45)","90","200"
"M48","100","200"
"(M52)","100","200"
"M56","110","200"
"(M60)","120","200"
"M64","120","200"
