"ISO7041def"
"Dia","P","d_a_max","d_a_min","d_w_min","e_min","h_max","h_min","m_min","m_w_min","s_max","s_min"
"M5",0.8,5.75,5,6.88,8.79,7.2,6.62,4.8,3.84,8,7.78
"M6",1,6.75,6,8.88,11.05,8.5,7.92,5.4,4.32,10,9.78
"M8",1.25,8.75,8,11.63,14.38,10.2,9.5,7.14,5.71,13,12.73
"M10",1.5,10.8,10,14.63,17.77,12.8,12.1,8.94,7.15,16,15.73
"M12",1.75,13,12,16.63,20.03,16.1,15.4,11.57,9.26,18,17.73
"(M14)",2,15.1,14,19.64,23.36,18.3,17,13.4,10.7,21,20.67
"M16",2,17.3,16,22.49,26.75,20.7,19.4,15.7,12.6,24,23.67
"M20",2.5,21.6,20,27.7,32.95,25.1,23,19,15.2,30,29.16
"M24",3,25.9,24,33.25,39.55,29.5,27.4,22.6,18.1,36,35
"M30",3.5,32.4,30,42.75,50.85,35.6,33.1,27.3,21.8,46,45
"M36",4,38.9,36,51.11,60.79,42.6,40.1,33.1,26.5,55,53.8
