"ISO8676range"
"Dia","Min_L","Max_L"
"M8x1","16","80"
"M10x1","20","100"
"(M10x1.25)","20","100"
"M12x1.5","25","120"
"(M12x1.25)","25","120"
"(M14x1.5)","30","140"
"M16x1.5","35","160"
"(M18x1.5)","35","180"
"M20x1.5","40","200"
"(M20x2)","40","200"
"(M22x1.5)","45","220"
"M24x2","40","200"
"(M27x2)","55","260"
"M30x2","40","200"
"(M33x2)","65","360"
"M36x3","40","200"
"(M39x3)","80","380"
"M42x3","90","420"
"(M45x3)","90","440"
"M48x3","100","480"
"(M52x4)","100","500"
"M56x4","120","500"
"(M60x4)","120","500"
"M64x4","130","500"
