"ISO10511def"
"Dia","P","d_a_max","d_a_min","d_w_min","e_min","h_max","h_min","m_min","m_w_min","s_max","s_min"
"M3",0.5,3.45,3,4.56,6.01,3.9,3.42,1.55,1.24,5.5,5.32
"M4",0.7,4.6,4,5.9,7.66,5,4.52,1.95,1.56,7,6.78
"M5",0.8,5.75,5,6.9,8.79,5,4.52,2.45,1.96,8,7.78
"M6",1,6.75,6,8.9,11.05,6,5.52,2.9,2.32,10,9.78
"M8",1.25,8.75,8,11.6,14.38,6.76,6.18,3.7,2.96,13,12.73
"M10",1.5,10.8,10,14.6,17.77,8.56,7.98,4.7,3.76,16,15.73
"M12",1.75,13,12,16.6,20.03,10.23,9.53,5.7,4.56,18,17.73
"(M14)",2,15.1,14,19.6,23.35,11.32,10.22,6.42,5.14,21,20.67
"M16",2,17.3,16,22.5,26.75,12.42,11.32,7.42,5.94,24,23.67
"M20",2.5,21.6,20,27.7,32.95,14.9,13.1,9.1,7.28,30,29.16
"M24",3,25.9,24,33.2,39.55,17.8,16,10.9,8.72,36,35
"M30",3.5,32.4,30,42.8,50.85,22.2,20.1,13.9,11.12,46,45
"M36",4,38.9,36,51.1,60.79,25.5,23.4,16.9,13.52,55,53.8
